,Sample,2015,2016,2017,Average
8,NJAU_C009,7.851,9.083666667,24.47,13.80155556
11,NJAU_C012,9.1335,13.72366667,17.42333333,13.42683333
31,NJAU_C032,8.107,8.843333333,25.08666667,14.01233333
51,NJAU_C052,13.36766667,17.523,9.37,13.42022222
53,NJAU_C054,7.230333333,8.593333333,24.90666667,13.57677778
66,NJAU_C067,10.775,,16.44666667,13.61083334
71,NJAU_C072,15.50566667,18.732,8.316666667,14.18477778
75,NJAU_C076,13.679,13.84966667,10.99,12.83955556
78,NJAU_C079,15.73333333,14.91433333,12.01,14.21922222
82,NJAU_C083,9.416666667,12.44933333,20.64333333,14.16977778
84,NJAU_C085,13.862,14.07,14.94,14.29066667
89,NJAU_C090,10.338,13.05766667,18.46666667,13.95411111
91,NJAU_C092,12.97433333,10.839,15.58333333,13.13222222
95,NJAU_C096,9.205666667,11.93366667,18.32,13.15311111
121,NJAU_C122,9.430333333,11.02166667,20.05666667,13.50288889
156,NJAU_C157,10.25666667,10.53866667,19.71333333,13.50288889
160,NJAU_C161,14.90233333,12.84433333,10.66,12.80222222
161,NJAU_C162,10.029,9.867666667,20.82666667,13.57444445
170,NJAU_C171,11.851,17.516,8.93,12.76566667
173,NJAU_C174,10.58733333,14.2195,17.4,14.06894444
203,NJAU_C204,13.03,13.627,,13.3285
