Sample	2015	2016	2017	Average
NJAU_C138	33.28	28.89	30.75	30.97333333
NJAU_C139	26.77	23.61	26.27	25.55
NJAU_C140	31.33	25.03	27.33	27.89666667
NJAU_C141	25.55	24.21	29.69	26.48333333
NJAU_C142	32.1	29.52	31.01	30.87666667
NJAU_C143	18.35	13.41	20.55	17.43666667
NJAU_C144	33.54	23.36	29.15	28.68333333
NJAU_C145	31.99	23.75	29.71	28.48333333
NJAU_C146	NA	NA	NA	NA
NJAU_C147	NA	NA	NA	NA
NJAU_C148	24.38	20.99	25.05	23.47333333
NJAU_C149	NA	NA	NA	NA
NJAU_C150	33.88	24.07	29.23	29.06
NJAU_C151	NA	NA	NA	NA
NJAU_C152	20.83	14.4	18.12	17.78333333
NJAU_C153	NA	NA	NA	NA
NJAU_C154	12.79	11.79	10.25	11.61
NJAU_C155	NA	NA	NA	NA
NJAU_C156	32.58	26.77	29.95	29.76666667
NJAU_C157	NA	NA	NA	NA
NJAU_C158	22.17	19.83	19.42	20.47333333
NJAU_C159	22.46	9.42	16.12	16
NJAU_C160	31.18	22.88	27.37	27.14333333
NJAU_C161	26.68	25.78	27.83	26.76333333
NJAU_C162	22.29	17.19	18.63	19.37
NJAU_C163	21.24	6.85	17.22	15.10333333
NJAU_C164	NA	NA	NA	NA
NJAU_C165	25.8	21.01	26.01	24.27333333
NJAU_C166	28.72	28.08	30.6	29.13333333
NJAU_C167	NA	NA	NA	NA
NJAU_C168	34.27	27.05	29.71	30.34333333
NJAU_C169	NA	NA	NA	NA
NJAU_C171	33.78	28.54	30.91	31.07666667
NJAU_C172	33.17	26.36	30.56	30.03
NJAU_C173	33.44	35.82	36.16	35.14
NJAU_C174	27.82	26.54	30.8	28.38666667
NJAU_C175	26.13	25.67	29.47	27.09
NJAU_C176	32.75	30.96	36.55	33.42
NJAU_C177	25.54	24.03	28.31	25.96
NJAU_C178	NA	NA	NA	NA
NJAU_C179	33.7	30.2	33.61	32.50333333
NJAU_C180	28.68	24.57	28.74	27.33
NJAU_C181	NA	NA	NA	NA
NJAU_C182	27.15	23.42	28.03	26.2
NJAU_C183	32	27.71	30.92	30.21
NJAU_C184	32.34	27.85	28.52	29.57
NJAU_C185	30.14	28.72	32.92	30.59333333
NJAU_C186	24.56	26.75	30	27.10333333
NJAU_C187	31.91	27.24	31.13	30.09333333
NJAU_C188	NA	NA	NA	NA
NJAU_C189	28.2	22.71	26.99	25.96666667
NJAU_C190	33.54	27.97	29.47	30.32666667
NJAU_C191	31.61	29.64	32.62	31.29
NJAU_C193	27.81	21.53	26.27	25.20333333
NJAU_C194	25.85	22.22	28.26	25.44333333
NJAU_C195	26.17	21.38	26.65	24.73333333
NJAU_C196	34.14	29.08	32.78	32
NJAU_C197	31.27	30.72	32.8	31.59666667
NJAU_C198	31.46	23.32	28.25	27.67666667
NJAU_C199	32.19	25.47	30.91	29.52333333
NJAU_C200	28.29	20.64	23.67	24.2
NJAU_C201	32.63	28.89	33.94	31.82
NJAU_C202	23.53	19.81	22.7	22.01333333
NJAU_C203	30.41	26.31	30	28.90666667
NJAU_C204	28.75	23.14	31.23	27.70666667
NJAU_C205	30.16	25.51	31.85	29.17333333
NJAU_C206	29.97	22.89	27.51	26.79
NJAU_C207	34.85	27.16	31.22	31.07666667
NJAU_C208	31.49	29.02	30.55	30.35333333
NJAU_C209	NA	NA	NA	NA
NJAU_C211	26.35	26.12	26.65	26.37333333
NJAU_C212	23.99	21.36	27.55	24.3
NJAU_C213	31.27	24.47	27.63	27.79
NJAU_C214	30.91	25.6	29.88	28.79666667
NJAU_C215	27.93	24.3	27.96	26.73
NJAU_C216	23.94	18.93	21.48	21.45
NJAU_C217	26.66	23.24	23.51	24.47
NJAU_C218	29.63	26.56	31.03	29.07333333
NJAU_C219	32.28	27.48	29.88	29.88
