loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.18G242700,water_soluble_protein,Residual,3489.344202,162,NA,NA
Glyma.12G107000,water_soluble_protein,C(type),190.1493165,1,8.441713304,0.004230386
Glyma.12G107000,water_soluble_protein,Residual,3333.695167,148,NA,NA
Glyma.12G077600,water_soluble_protein,C(type),192.1881753,1,8.783434264,0.003498489
Glyma.12G077600,water_soluble_protein,Residual,3544.682348,162,NA,NA
Glyma.08G117700,water_soluble_protein,C(type),187.9744595,3,2.856384016,0.039185428
Glyma.08G117700,water_soluble_protein,Residual,3224.618421,147,NA,NA
Glyma.12G136000,water_soluble_protein,C(type),115.5203788,1,4.989492398,0.02696156
Glyma.12G136000,water_soluble_protein,Residual,3519.215219,152,NA,NA
Glyma.13G155300,water_soluble_protein,C(type),250.2642793,2,5.938552561,0.003260293
Glyma.13G155300,water_soluble_protein,Residual,3329.241909,158,NA,NA
Glyma.15G274600,water_soluble_protein,C(type),205.4254445,1,8.994302063,0.003165238
Glyma.15G274600,water_soluble_protein,Residual,3471.605395,152,NA,NA
Glyma.04G041800,water_soluble_protein,C(type),158.5158108,2,3.750832359,0.025731097
Glyma.04G041800,water_soluble_protein,Residual,3169.612681,150,NA,NA
Glyma.04G043900,water_soluble_protein,C(type),99.83730098,1,4.425445783,0.036980594
Glyma.04G043900,water_soluble_protein,Residual,3587.012842,159,NA,NA
Glyma.10G104700,water_soluble_protein,C(type),296.4753892,2,6.689512178,0.001645722
Glyma.10G104700,water_soluble_protein,Residual,3346.117219,151,NA,NA
Glyma.03G001000,water_soluble_protein,C(type),238.3976332,1,10.69469147,0.001325728
Glyma.03G001000,water_soluble_protein,Residual,3432.846626,154,NA,NA
Glyma.14G118800,water_soluble_protein,C(type),212.3584407,2,4.863832984,0.009045031
Glyma.14G118800,water_soluble_protein,Residual,3121.741343,143,NA,NA
Glyma.04G043400,water_soluble_protein,C(type),144.0583022,1,6.395347954,0.012416128
Glyma.04G043400,water_soluble_protein,Residual,3581.551811,159,NA,NA
Glyma.06G198700,water_soluble_protein,C(type),236.9221734,4,2.825883594,0.033710979
Glyma.06G198700,water_soluble_protein,Residual,1110.880435,53,NA,NA
Glyma.06G084600,water_soluble_protein,C(type),268.6982439,2,6.445193925,0.002057154
Glyma.06G084600,water_soluble_protein,Residual,3168.417704,152,NA,NA
Glyma.13G252700,water_soluble_protein,C(type),159.9300881,1,7.181296351,0.008137484
Glyma.13G252700,water_soluble_protein,Residual,3563.258337,160,NA,NA
Glyma.18G262300,water_soluble_protein,C(type),157.4290267,2,3.403919178,0.035831239
Glyma.18G262300,water_soluble_protein,Residual,3468.70075,150,NA,NA
Glyma.08G349100,water_soluble_protein,C(type),325.9032278,1,15.25049963,0.00013952
Glyma.08G349100,water_soluble_protein,Residual,3355.090521,157,NA,NA
Glyma.16G083700,water_soluble_protein,C(type),89.34960004,1,3.932243094,0.049102041
Glyma.16G083700,water_soluble_protein,Residual,3590.12311,158,NA,NA
Glyma.08G288400,water_soluble_protein,C(type),192.0208046,2,4.362173919,0.01430138
Glyma.08G288400,water_soluble_protein,Residual,3521.561646,160,NA,NA
Glyma.13G202500,water_soluble_protein,C(type),135.5692429,1,5.904852327,0.016233985
Glyma.13G202500,water_soluble_protein,Residual,3581.597087,156,NA,NA
Glyma.15G266200,water_soluble_protein,C(type),143.9527322,1,6.964668401,0.009140738
Glyma.15G266200,water_soluble_protein,Residual,3286.371023,159,NA,NA
Glyma.06G242400,water_soluble_protein,C(type),160.5423355,3,3.013509201,0.033448641
Glyma.06G242400,water_soluble_protein,Residual,1829.081364,103,NA,NA
Glyma.15G210800,water_soluble_protein,C(type),448.5558876,4,5.181000579,0.000632765
Glyma.15G210800,water_soluble_protein,Residual,3073.486244,142,NA,NA
Glyma.16G078800,water_soluble_protein,C(type),238.9570952,3,3.658461102,0.014009589
Glyma.16G078800,water_soluble_protein,Residual,3135.181775,144,NA,NA
Glyma.17G233800,water_soluble_protein,C(type),243.3952935,2,5.505442756,0.005029514
Glyma.17G233800,water_soluble_protein,Residual,2984.170945,135,NA,NA
Glyma.03G103200,water_soluble_protein,C(type),283.4302323,2,6.726354243,0.001585416
Glyma.03G103200,water_soluble_protein,Residual,3223.501467,153,NA,NA
Glyma.09G266600,water_soluble_protein,C(type),209.781779,2,4.84862122,0.00905997
Glyma.09G266600,water_soluble_protein,Residual,3374.769449,156,NA,NA
Glyma.11G190500,water_soluble_protein,C(type),136.6959186,1,6.249374793,0.013499891
Glyma.11G190500,water_soluble_protein,Residual,3281.030258,150,NA,NA
Glyma.20G112000,water_soluble_protein,C(type),426.5417889,4,4.5884433,0.001664066
Glyma.20G112000,water_soluble_protein,Residual,3137.400733,135,NA,NA
Glyma.17G010800,water_soluble_protein,C(type),496.2319076,4,5.961811868,0.000173578
Glyma.17G010800,water_soluble_protein,Residual,3204.550708,154,NA,NA
Glyma.19G252400,water_soluble_protein,C(type),193.6125935,2,4.283278556,0.015488415
Glyma.19G252400,water_soluble_protein,Residual,3457.950075,153,NA,NA
Glyma.12G216000,water_soluble_protein,C(type),235.8020082,1,10.84386047,0.001218603
Glyma.12G216000,water_soluble_protein,Residual,3500.978588,161,NA,NA
Glyma.13G196200,water_soluble_protein,C(type),326.503568,5,2.79171597,0.019764178
Glyma.13G196200,water_soluble_protein,Residual,3087.597123,132,NA,NA
Glyma.20G009500,water_soluble_protein,C(type),240.5554357,1,10.94550213,0.001162024
Glyma.20G009500,water_soluble_protein,Residual,3472.454564,158,NA,NA
Glyma.18G141900,water_soluble_protein,C(type),193.3909902,2,4.882981804,0.008787692
Glyma.18G141900,water_soluble_protein,Residual,3049.59282,154,NA,NA
Glyma.01G074700,water_soluble_protein,C(type),112.3478526,1,4.906106658,0.028211071
Glyma.01G074700,water_soluble_protein,Residual,3572.336727,156,NA,NA
Glyma.01G238700,water_soluble_protein,C(type),108.7054098,1,4.759268976,0.030637682
Glyma.01G238700,water_soluble_protein,Residual,3563.161487,156,NA,NA
Glyma.18G233700,water_soluble_protein,C(type),102.259573,1,4.518579253,0.035063502
Glyma.18G233700,water_soluble_protein,Residual,3620.946045,160,NA,NA
Glyma.06G246500,water_soluble_protein,C(type),118.7045118,2,3.268546588,0.040884258
Glyma.06G246500,water_soluble_protein,Residual,2632.998145,145,NA,NA
Glyma.08G302300,water_soluble_protein,C(type),236.1852849,2,5.465270202,0.005197292
Glyma.08G302300,water_soluble_protein,Residual,2981.88087,138,NA,NA
Glyma.03G000600,water_soluble_protein,C(type),165.1899308,1,7.464772368,0.006994622
Glyma.03G000600,water_soluble_protein,Residual,3562.811771,161,NA,NA
Glyma.12G103100,water_soluble_protein,C(type),119.5640048,1,5.026240689,0.026473678
Glyma.12G103100,water_soluble_protein,Residual,3473.041938,146,NA,NA
Glyma.05G051600,water_soluble_protein,C(type),204.0384872,2,4.76741,0.009780218
Glyma.05G051600,water_soluble_protein,Residual,3338.291022,156,NA,NA
Glyma.08G283200,water_soluble_protein,C(type),183.8822282,1,8.402605639,0.004283492
Glyma.08G283200,water_soluble_protein,Residual,3435.780645,157,NA,NA
Glyma.15G271700,water_soluble_protein,C(type),169.6084367,1,7.702424458,0.006163665
Glyma.15G271700,water_soluble_protein,Residual,3567.262087,162,NA,NA
Glyma.06G158000,water_soluble_protein,C(type),249.81014,2,5.494024186,0.004969068
Glyma.06G158000,water_soluble_protein,Residual,3455.676567,152,NA,NA
Glyma.04G123500,water_soluble_protein,C(type),284.2773121,3,4.261280725,0.006443369
Glyma.04G123500,water_soluble_protein,Residual,3224.399182,145,NA,NA
Glyma.08G353900,water_soluble_protein,C(type),350.3512473,2,8.268159538,0.000388325
Glyma.08G353900,water_soluble_protein,Residual,3262.763123,154,NA,NA
Glyma.01G219900,water_soluble_protein,C(type),337.6398378,3,5.432002103,0.001471783
Glyma.01G219900,water_soluble_protein,Residual,2817.808061,136,NA,NA
Glyma.01G224300,water_soluble_protein,C(type),161.0300608,1,7.231878054,0.007921144
Glyma.01G224300,water_soluble_protein,Residual,3562.672039,160,NA,NA
Glyma.04G027100,water_soluble_protein,C(type),192.1057872,3,2.815015096,0.041152606
Glyma.04G027100,water_soluble_protein,Residual,3503.153651,154,NA,NA
Glyma.04G041900,water_soluble_protein,C(type),143.682947,1,6.432647911,0.012174375
Glyma.04G041900,water_soluble_protein,Residual,3529.169627,158,NA,NA
Glyma.08G178100,water_soluble_protein,C(type),161.8413954,1,7.248998726,0.007849273
Glyma.08G178100,water_soluble_protein,Residual,3572.165516,160,NA,NA
Glyma.06G145700,water_soluble_protein,C(type),200.3683701,2,4.933348202,0.008365684
Glyma.06G145700,water_soluble_protein,Residual,3167.976845,156,NA,NA
Glyma.06G201500,water_soluble_protein,C(type),329.0076642,2,7.73255722,0.000633668
Glyma.06G201500,water_soluble_protein,Residual,3233.675713,152,NA,NA
Glyma.20G078700,water_soluble_protein,C(type),141.8926648,1,6.294891159,0.013110363
Glyma.20G078700,water_soluble_protein,Residual,3584.006956,159,NA,NA
Glyma.10G069100,water_soluble_protein,C(type),295.7781432,2,6.822646605,0.00144612
Glyma.10G069100,water_soluble_protein,Residual,3359.811437,155,NA,NA
Glyma.08G068000,water_soluble_protein,C(type),116.334676,1,5.102382899,0.025269797
Glyma.08G068000,water_soluble_protein,Residual,3579.610642,157,NA,NA
Glyma.02G003500,water_soluble_protein,C(type),298.6465763,3,4.729183587,0.003539847
Glyma.02G003500,water_soluble_protein,Residual,3031.186123,144,NA,NA
Glyma.18G135500,water_soluble_protein,C(type),205.8786222,2,4.622376678,0.011195982
Glyma.18G135500,water_soluble_protein,Residual,3518.62522,158,NA,NA
Glyma.18G137700,water_soluble_protein,C(type),391.1995563,3,6.092608692,0.000601957
Glyma.18G137700,water_soluble_protein,Residual,3338.861554,156,NA,NA
Glyma.04G039200,water_soluble_protein,C(type),123.3919185,1,6.026812684,0.015225587
Glyma.04G039200,water_soluble_protein,Residual,3091.547834,151,NA,NA
Glyma.19G247000,water_soluble_protein,C(type),179.9748308,2,4.394346382,0.013964752
Glyma.19G247000,water_soluble_protein,Residual,3092.177663,151,NA,NA
Glyma.01G080900,water_soluble_protein,C(type),114.2409582,1,5.043957643,0.026089827
Glyma.01G080900,water_soluble_protein,Residual,3601.202397,159,NA,NA
Glyma.03G098800,water_soluble_protein,C(type),385.5046013,2,10.00325606,8.29E-05
Glyma.03G098800,water_soluble_protein,Residual,2928.881308,152,NA,NA
Glyma.16G078400,water_soluble_protein,C(type),253.0649896,2,5.988756873,0.003119817
Glyma.16G078400,water_soluble_protein,Residual,3296.021129,156,NA,NA
